datetime,date,hour,interval_start,A3_MW,A4_MW,A5_MW,B1_MW,B2_MW,total_generation_mw,co,no2,o3,pm10,pm25,so2,temperature_2m (°C),rain (mm),snowfall (cm),relative_humidity_2m (%),wind_direction_10m (°),wind_speed_10m (km/h),gap_duration
2023-08-01 07:00:00,2023-08-01,7,2023-08-01 06:00:00,0.0,129.0,130.0,0.0,247.0,506.0,0.4,4.9,40.1,11.7,8.6,0.0,16.8,0.0,0.0,77,50,2.8,0 days 02:00:00
2023-08-11 16:00:00,2023-08-11,16,2023-08-11 15:00:00,131.0,0.0,131.0,0.0,0.0,262.0,0.4,5.5,65.3,11.8,5.9,0.0,23.2,0.0,0.0,41,25,14.7,10 days 04:00:00
2023-08-17 12:00:00,2023-08-17,12,2023-08-17 11:00:00,127.0,0.0,127.0,0.0,247.0,501.0,0.6,9.05,58.8,22.1,15.35,6.95,27.0,0.0,0.0,49,38,10.0,5 days 19:00:00
2023-08-17 18:00:00,2023-08-17,18,2023-08-17 17:00:00,129.0,0.0,130.0,0.0,244.0,503.0,0.6,9.8,64.4,17.25,11.25,4.75,27.0,0.0,0.0,50,36,16.0,0 days 06:00:00
2023-08-17 21:00:00,2023-08-17,21,2023-08-17 20:00:00,130.0,0.0,122.0,0.0,247.0,499.0,0.8,15.35,50.0,20.15,14.35,7.55,21.1,0.0,0.0,76,41,11.5,0 days 03:00:00
2023-08-18 01:00:00,2023-08-18,1,2023-08-18 00:00:00,125.0,0.0,128.0,0.0,247.0,500.0,0.65,18.1,37.1,21.6,16.7,6.65,18.2,0.0,0.0,89,43,6.4,0 days 04:00:00
2023-08-18 06:00:00,2023-08-18,6,2023-08-18 05:00:00,124.0,0.0,128.0,0.0,248.0,500.0,0.6,8.7,30.45,21.75,18.65,6.9,16.9,0.0,0.0,98,38,5.9,0 days 02:00:00
2023-08-18 14:00:00,2023-08-18,14,2023-08-18 13:00:00,131.0,0.0,131.0,0.0,246.0,508.0,0.55,7.35,71.8,13.85,8.25,3.4,31.4,0.0,0.0,36,34,9.1,0 days 05:00:00
2023-08-24 21:00:00,2023-08-24,21,2023-08-24 20:00:00,124.0,0.0,0.0,0.0,246.0,370.0,0.4,36.7,67.3,17.35,10.9,5.65,22.5,0.0,0.0,70,49,6.6,6 days 07:00:00
2023-08-25 00:00:00,2023-08-25,0,2023-08-24 23:00:00,127.0,0.0,0.0,0.0,245.0,372.0,0.45,16.0,27.2,28.0,19.0,7.75,19.7,0.0,0.0,85,58,5.5,0 days 03:00:00
2023-08-25 03:00:00,2023-08-25,3,2023-08-25 02:00:00,121.0,0.0,0.0,0.0,245.0,366.0,0.4,11.95,43.6,20.85,16.85,7.9,20.0,0.0,0.0,84,0,0.4,0 days 02:00:00
2023-08-25 06:00:00,2023-08-25,6,2023-08-25 05:00:00,118.0,0.0,0.0,0.0,244.0,362.0,0.45,16.05,27.75,23.35,18.6,7.85,17.7,0.0,0.0,95,61,4.5,0 days 03:00:00
2023-08-25 09:00:00,2023-08-25,9,2023-08-25 08:00:00,124.0,0.0,0.0,0.0,246.0,370.0,0.35,13.2,51.2,22.15,16.7,7.7,25.0,0.0,0.0,62,333,3.2,0 days 02:00:00
2023-08-25 14:00:00,2023-08-25,14,2023-08-25 13:00:00,122.0,0.0,0.0,0.0,242.0,364.0,0.4,7.75,78.2,14.5,8.85,6.3,31.6,0.0,0.0,29,15,10.8,0 days 04:00:00
2023-08-25 21:00:00,2023-08-25,21,2023-08-25 20:00:00,125.0,0.0,0.0,0.0,245.0,370.0,0.4,36.15,22.7,25.9,15.0,0.0,22.4,0.0,0.0,54,72,5.7,0 days 07:00:00
2023-08-25 23:00:00,2023-08-25,23,2023-08-25 22:00:00,126.0,0.0,0.0,0.0,246.0,372.0,0.45,33.6,18.7,33.8,19.95,0.4,19.2,0.0,0.0,68,80,4.0,0 days 02:00:00
2023-08-26 01:00:00,2023-08-26,1,2023-08-26 00:00:00,124.0,0.0,0.0,0.0,247.0,371.0,0.4,26.6,32.95,20.25,15.05,8.05,17.7,0.0,0.0,74,83,2.9,0 days 02:00:00
2023-08-26 04:00:00,2023-08-26,4,2023-08-26 03:00:00,124.0,0.0,0.0,0.0,246.0,370.0,0.35,17.4,39.5,18.0,15.0,8.45,17.1,0.0,0.0,83,69,5.0,0 days 02:00:00
2023-08-26 09:00:00,2023-08-26,9,2023-08-26 08:00:00,120.0,129.0,0.0,0.0,245.0,494.0,0.5,8.95,54.6,21.4,16.15,8.95,24.6,0.0,0.0,54,270,3.2,0 days 03:00:00
2023-08-26 14:00:00,2023-08-26,14,2023-08-26 13:00:00,123.0,122.0,0.0,0.0,240.0,485.0,0.3,6.45,76.9,15.5,8.1,20.45,33.0,0.0,0.0,25,292,6.6,0 days 04:00:00
2023-08-26 16:00:00,2023-08-26,16,2023-08-26 15:00:00,123.0,124.0,0.0,0.0,242.0,489.0,0.3,5.35,76.9,14.85,7.8,7.7,33.5,0.0,0.0,25,317,6.9,0 days 02:00:00
2023-08-26 20:00:00,2023-08-26,20,2023-08-26 19:00:00,124.0,128.0,0.0,0.0,242.0,494.0,0.4,24.8,76.9,15.0,7.25,1.9,26.5,0.0,0.0,41,82,7.6,0 days 04:00:00
2023-08-27 01:00:00,2023-08-27,1,2023-08-27 00:00:00,125.0,125.0,0.0,0.0,244.0,494.0,0.5,34.35,76.9,22.4,13.95,10.3,20.0,0.0,0.0,73,79,1.8,0 days 05:00:00
2023-08-27 05:00:00,2023-08-27,5,2023-08-27 04:00:00,126.0,130.0,0.0,0.0,246.0,502.0,0.45,17.75,11.3,21.85,15.8,9.9,20.3,0.0,0.0,76,127,3.6,0 days 02:00:00
2023-08-27 08:00:00,2023-08-27,8,2023-08-27 07:00:00,123.0,128.0,0.0,0.0,246.0,497.0,0.45,15.1,21.2,25.3,17.4,8.5,23.0,0.0,0.0,65,225,1.0,0 days 02:00:00
2023-08-28 00:00:00,2023-08-28,0,2023-08-27 23:00:00,128.0,125.0,0.0,0.0,244.0,497.0,0.4,63.5,6.9,27.7,15.25,9.6,20.4,0.0,0.0,63,84,3.6,0 days 14:00:00
2023-08-28 03:00:00,2023-08-28,3,2023-08-28 02:00:00,130.0,128.0,0.0,0.0,245.0,503.0,0.45,21.55,11.8,27.4,20.3,8.95,19.2,0.0,0.0,71,86,5.4,0 days 02:00:00
2023-08-28 05:00:00,2023-08-28,5,2023-08-28 04:00:00,126.0,124.0,0.0,0.0,243.0,493.0,0.4,11.95,29.5,18.6,14.3,9.25,19.8,0.0,0.0,67,96,6.5,0 days 02:00:00
2023-08-28 17:00:00,2023-08-28,17,2023-08-28 16:00:00,129.0,125.0,0.0,0.0,233.0,487.0,0.4,5.45,31.0,16.75,8.85,2.45,33.7,0.0,0.0,24,198,12.9,0 days 08:00:00
2023-08-28 20:00:00,2023-08-28,20,2023-08-28 19:00:00,129.0,123.0,0.0,0.0,238.0,490.0,0.4,11.45,31.0,46.1,16.1,1.2,26.8,0.0,0.0,43,183,6.1,0 days 02:00:00
2023-08-29 03:00:00,2023-08-29,3,2023-08-29 02:00:00,126.0,129.0,0.0,0.0,245.0,500.0,0.5,4.8,31.0,26.1,17.7,1.5,23.1,0.0,0.0,67,170,9.9,0 days 02:00:00
2023-08-29 09:00:00,2023-08-29,9,2023-08-29 08:00:00,130.0,122.0,0.0,0.0,247.0,499.0,0.5,10.2,31.0,39.4,18.4,0.7,22.3,0.0,0.0,80,166,7.4,0 days 02:00:00
2023-08-29 15:00:00,2023-08-29,15,2023-08-29 14:00:00,126.0,126.0,0.0,0.0,247.0,499.0,0.5,6.6,31.0,28.5,13.7,2.2,25.5,0.0,0.0,41,193,9.6,0 days 04:00:00
2023-08-29 18:00:00,2023-08-29,18,2023-08-29 17:00:00,128.0,126.0,0.0,0.0,244.0,498.0,0.5,6.1,31.0,30.4,11.0,1.7,25.0,0.0,0.0,41,241,14.0,0 days 02:00:00
2023-08-30 10:00:00,2023-08-30,10,2023-08-30 09:00:00,131.0,123.0,0.0,0.0,246.0,500.0,0.6,6.65,68.2,9.3,4.4,11.0,23.6,0.0,0.0,40,218,14.1,0 days 15:00:00
2023-08-30 14:00:00,2023-08-30,14,2023-08-30 13:00:00,131.0,124.0,0.0,0.0,246.0,501.0,0.55,5.05,82.5,10.95,4.1,11.1,25.4,0.0,0.0,31,223,18.6,0 days 02:00:00
2023-08-30 21:00:00,2023-08-30,21,2023-08-30 20:00:00,121.0,120.0,0.0,0.0,245.0,486.0,0.6,5.95,75.8,7.15,3.9,9.9,19.1,0.0,0.0,60,217,9.0,0 days 07:00:00
2023-08-30 23:00:00,2023-08-30,23,2023-08-30 22:00:00,123.0,122.0,0.0,0.0,248.0,493.0,0.55,9.9,61.4,8.15,4.6,8.4,16.6,0.0,0.0,73,215,7.0,0 days 02:00:00
2023-08-31 13:00:00,2023-08-31,13,2023-08-31 12:00:00,133.0,130.0,0.0,0.0,248.0,511.0,0.4,7.5,65.2,14.65,4.6,9.35,23.4,0.5,0.0,45,238,16.2,0 days 03:00:00
2023-08-31 19:00:00,2023-08-31,19,2023-08-31 18:00:00,127.0,127.0,0.0,0.0,246.0,500.0,0.55,8.35,76.8,10.4,4.75,9.1,20.8,0.0,0.0,49,233,12.6,0 days 06:00:00
2023-08-31 22:00:00,2023-08-31,22,2023-08-31 21:00:00,122.0,127.0,0.0,0.0,244.0,493.0,0.6,34.4,17.1,17.95,9.55,8.75,17.0,0.0,0.0,67,5,4.0,0 days 02:00:00
2023-09-01 03:00:00,2023-09-01,3,2023-09-01 02:00:00,135.0,129.0,0.0,0.0,244.8,508.8,0.5,8.75,47.1,7.25,5.5,9.1,14.4,0.0,0.0,84,41,3.8,0 days 02:00:00
2023-09-01 15:00:00,2023-09-01,15,2023-09-01 14:00:00,133.0,126.0,0.0,0.0,244.8,503.8,0.45,5.9,84.8,9.5,7.4,11.1,26.4,0.0,0.0,32,357,6.8,0 days 04:00:00
2023-09-01 20:00:00,2023-09-01,20,2023-09-01 19:00:00,134.0,130.0,0.0,0.0,228.8,492.8,0.55,15.8,55.6,16.45,12.5,10.6,20.0,0.0,0.0,59,50,11.8,0 days 03:00:00
2023-09-01 22:00:00,2023-09-01,22,2023-09-01 21:00:00,127.0,129.0,0.0,0.0,246.0,502.0,0.6,16.2,53.0,17.5,14.55,7.9,17.8,0.0,0.0,70,45,9.7,0 days 02:00:00
