timestamp,temperature_2m,rain,relative_humidity_2m,wind_speed_10m,wind_direction_10m
2026-05-09 00:00:00,11.8,0.0,91,2.9,97
2026-05-09 01:00:00,11.5,0.1,91,3.3,96
2026-05-09 02:00:00,11.2,0.0,93,2.5,98
2026-05-09 03:00:00,10.9,0.0,94,3.3,96
2026-05-09 04:00:00,10.7,0.1,96,3.6,84
2026-05-09 05:00:00,10.6,0.4,96,3.3,77
2026-05-09 06:00:00,10.7,0.0,96,2.5,98
2026-05-09 07:00:00,11.4,0.1,96,1.9,68
2026-05-09 08:00:00,11.8,0.4,94,2.3,342
2026-05-09 09:00:00,12.3,0.5,94,2.9,330
2026-05-09 10:00:00,13.1,0.3,92,4.3,336
2026-05-09 11:00:00,14.1,0.2,89,6.7,344
2026-05-09 12:00:00,14.7,0.2,85,7.1,336
2026-05-09 13:00:00,15.3,0.1,80,8.7,353
2026-05-09 14:00:00,15.3,0.1,79,12.0,7
2026-05-09 15:00:00,15.8,0.0,76,11.4,13
2026-05-09 16:00:00,16.4,0.0,71,9.9,10
2026-05-09 17:00:00,16.3,0.0,71,9.0,355
2026-05-09 18:00:00,15.9,0.0,74,5.0,339
2026-05-09 19:00:00,15.4,0.0,79,3.6,315
2026-05-09 20:00:00,14.4,0.0,85,2.6,16
2026-05-09 21:00:00,13.2,0.0,86,4.4,55
2026-05-09 22:00:00,11.7,0.0,90,4.9,73
2026-05-09 23:00:00,11.0,0.0,91,5.1,82
