feature,importance
pm25_lag_1,54.491008692263854
hour_cos,10.125411565730483
hour_sin,8.70377366191671
pm25_lag_24,6.479592509135116
month_cos,3.1557914019365123
month_sin,3.01709962771369
total_generation_mw,2.6014476482189073
temperature_2m (°C),2.4238579567836407
relative_humidity_2m (%),2.0442393503538505
pollution_stagnation_index,1.808134059370147
wind_speed_10m (km/h),1.3773479324256561
wind_x_vector,1.2052543611751214
wind_y_vector,1.1614489256919907
wind_direction_10m (°),0.8524317934008848
rain (mm),0.5531605138834466
